alcaldia,delito_grupo,carpetas_2016_2025ene
IZTAPALAPA,Robo a casa habitacion,6565
GUSTAVO A. MADERO,Robo a casa habitacion,4790
CUAUHTEMOC,Robo a casa habitacion,4353
TLALPAN,Robo a casa habitacion,3988
BENITO JUAREZ,Robo a casa habitacion,3685
COYOACAN,Robo a casa habitacion,3612
ALVARO OBREGON,Robo a casa habitacion,2886
MIGUEL HIDALGO,Robo a casa habitacion,2426
XOCHIMILCO,Robo a casa habitacion,2384
VENUSTIANO CARRANZA,Robo a casa habitacion,2260
AZCAPOTZALCO,Robo a casa habitacion,2216
IZTACALCO,Robo a casa habitacion,1857
TLAHUAC,Robo a casa habitacion,1522
LA MAGDALENA CONTRERAS,Robo a casa habitacion,1373
CUAJIMALPA DE MORELOS,Robo a casa habitacion,874
MILPA ALTA,Robo a casa habitacion,624
nan,Robo a casa habitacion,43
CDMX (indeterminada),Robo a casa habitacion,4
IZTAPALAPA,Despojo,4850
CUAUHTEMOC,Despojo,4055
GUSTAVO A. MADERO,Despojo,3672
TLALPAN,Despojo,2754
BENITO JUAREZ,Despojo,2270
XOCHIMILCO,Despojo,2104
VENUSTIANO CARRANZA,Despojo,2071
COYOACAN,Despojo,2046
ALVARO OBREGON,Despojo,2014
MIGUEL HIDALGO,Despojo,1891
TLAHUAC,Despojo,1740
AZCAPOTZALCO,Despojo,1733
IZTACALCO,Despojo,1472
LA MAGDALENA CONTRERAS,Despojo,709
CUAJIMALPA DE MORELOS,Despojo,665
MILPA ALTA,Despojo,569
nan,Despojo,75
CDMX (indeterminada),Despojo,19
