anio,delito_grupo,subtipo,carpetas
2016,Robo a casa habitacion,ROBO A CASA HABITACION CON VIOLENCIA,441
2016,Robo a casa habitacion,ROBO A CASA HABITACION SIN VIOLENCIA,5774
2016,Robo a casa habitacion,ROBO A CASA HABITACION Y VEHICULO CON VIOLENCIA,44
2016,Robo a casa habitacion,ROBO A CASA HABITACION Y VEHICULO SIN VIOLENCIA,58
2017,Robo a casa habitacion,ROBO A CASA HABITACION CON VIOLENCIA,386
2017,Robo a casa habitacion,ROBO A CASA HABITACION SIN VIOLENCIA,6175
2017,Robo a casa habitacion,ROBO A CASA HABITACION Y VEHICULO CON VIOLENCIA,47
2017,Robo a casa habitacion,ROBO A CASA HABITACION Y VEHICULO SIN VIOLENCIA,50
2018,Robo a casa habitacion,ROBO A CASA HABITACION CON VIOLENCIA,499
2018,Robo a casa habitacion,ROBO A CASA HABITACION SIN VIOLENCIA,6925
2018,Robo a casa habitacion,ROBO A CASA HABITACION Y VEHICULO CON VIOLENCIA,63
2018,Robo a casa habitacion,ROBO A CASA HABITACION Y VEHICULO SIN VIOLENCIA,80
2019,Robo a casa habitacion,ROBO A CASA HABITACION CON VIOLENCIA,692
2019,Robo a casa habitacion,ROBO A CASA HABITACION SIN VIOLENCIA,6049
2019,Robo a casa habitacion,ROBO A CASA HABITACION Y VEHICULO CON VIOLENCIA,66
2019,Robo a casa habitacion,ROBO A CASA HABITACION Y VEHICULO SIN VIOLENCIA,40
2020,Robo a casa habitacion,ROBO A CASA HABITACION CON VIOLENCIA,603
2020,Robo a casa habitacion,ROBO A CASA HABITACION SIN VIOLENCIA,3502
2020,Robo a casa habitacion,ROBO A CASA HABITACION Y VEHICULO CON VIOLENCIA,32
2020,Robo a casa habitacion,ROBO A CASA HABITACION Y VEHICULO SIN VIOLENCIA,41
2021,Robo a casa habitacion,ROBO A CASA HABITACION CON VIOLENCIA,458
2021,Robo a casa habitacion,ROBO A CASA HABITACION SIN VIOLENCIA,3167
2021,Robo a casa habitacion,ROBO A CASA HABITACION Y VEHICULO CON VIOLENCIA,22
2021,Robo a casa habitacion,ROBO A CASA HABITACION Y VEHICULO SIN VIOLENCIA,39
2022,Robo a casa habitacion,ROBO A CASA HABITACION CON VIOLENCIA,292
2022,Robo a casa habitacion,ROBO A CASA HABITACION SIN VIOLENCIA,2945
2022,Robo a casa habitacion,ROBO A CASA HABITACION Y VEHICULO CON VIOLENCIA,19
2022,Robo a casa habitacion,ROBO A CASA HABITACION Y VEHICULO SIN VIOLENCIA,39
2023,Robo a casa habitacion,ROBO A CASA HABITACION CON VIOLENCIA,278
2023,Robo a casa habitacion,ROBO A CASA HABITACION SIN VIOLENCIA,3118
2023,Robo a casa habitacion,ROBO A CASA HABITACION Y VEHICULO CON VIOLENCIA,11
2023,Robo a casa habitacion,ROBO A CASA HABITACION Y VEHICULO SIN VIOLENCIA,29
2024,Robo a casa habitacion,ROBO A CASA HABITACION CON VIOLENCIA,209
2024,Robo a casa habitacion,ROBO A CASA HABITACION SIN VIOLENCIA,2996
2024,Robo a casa habitacion,ROBO A CASA HABITACION Y VEHICULO CON VIOLENCIA,11
2024,Robo a casa habitacion,ROBO A CASA HABITACION Y VEHICULO SIN VIOLENCIA,23
2025,Robo a casa habitacion,ROBO A CASA HABITACION CON VIOLENCIA,17
2025,Robo a casa habitacion,ROBO A CASA HABITACION SIN VIOLENCIA,219
2025,Robo a casa habitacion,ROBO A CASA HABITACION Y VEHICULO SIN VIOLENCIA,3
2016,Despojo,DESPOJO,3378
2017,Despojo,DESPOJO,3439
2018,Despojo,DESPOJO,3621
2019,Despojo,DESPOJO,4012
2020,Despojo,DESPOJO,3957
2021,Despojo,DESPOJO,4439
2022,Despojo,DESPOJO,4048
2023,Despojo,DESPOJO,3887
2024,Despojo,DESPOJO,3649
2025,Despojo,DESPOJO,279
