Entidad,despojo,robo_casa_habitacion
México,4936,7268
Ciudad de México,3643,3236
Veracruz de Ignacio de la Llave,1966,2284
Guanajuato,1390,3138
Baja California,1383,2455
Jalisco,1282,2247
Puebla,1265,2166
Nuevo León,1235,1774
Chihuahua,1019,2192
Morelos,996,1143
Michoacán de Ocampo,834,921
Quintana Roo,776,1168
Querétaro,766,1973
Oaxaca,746,725
Hidalgo,696,966
San Luis Potosí,555,837
Sinaloa,507,576
Guerrero,500,256
Tabasco,483,844
Tamaulipas,480,1135
Aguascalientes,387,2044
Baja California Sur,386,1015
Coahuila de Zaragoza,381,1137
Colima,360,788
Zacatecas,355,393
Durango,320,430
Sonora,286,543
Nayarit,190,266
Chiapas,134,131
Campeche,66,515
Yucatán,39,74
Tlaxcala,2,316
